id_code	name_full	type_id	name_short	name_sort	attr_ref	modified_datetime_iso	is_deprecated	rib_taxonomy_id	related_count	notes	modified_user	uri_pattern	parent_id
3144	Honorific: acclamation	3000	Honorific: acclamation	Honorific: acclamation		2025-02-14T19:33:51Z	True	0	0		Designer		0
3143	Honorific	3000	Honorific	Honorific		2025-02-14T19:34:18Z	True	17663	0		Designer		0
3142	Funerary: other	3000	Funerary: other	Funerary: other	https://www.eagle-network.eu/voc/typeins/lod/92	2025-02-14T19:34:18Z	False	17662	0				3059
3141	Funerary: iura sepulcrorum	3000	Funerary: iura sepulcrorum	Funerary: iura sepulcrorum	https://www.eagle-network.eu/voc/typeins/lod/354	2025-02-14T19:34:18Z	False	17661	0				3059
3140	Funerary	3000	Funerary	Funerary		2025-02-14T19:34:18Z	True	17642	0				0
3139	Honorific: other	3000	Honorific: other	Honorific: other	https://www.eagle-network.eu/voc/typeins/lod/69	2025-02-14T19:34:18Z	False	17720	3		Designer		3156
3138	Honorific: acclamation	3000	Honorific: acclamation	Honorific: acclamation	https://www.eagle-network.eu/voc/typeins/lod/73	2025-02-14T19:34:18Z	False	17663	109		Designer		3156
3137	votivo ?	3000	votivo ?	votivo ?		2024-08-01T00:39:21Z	True	0	0				0
3136	votivo	3000	votivo	votivo		2024-08-01T00:39:21Z	True	0	0				0
3135	Religion: Votive	3000	Votive	Religion: Votive	https://www.eagle-network.eu/voc/typeins/lod/83	2025-02-14T19:34:18Z	False	17715	10031		Designer		3293
3134	votiva	3000	votiva	votiva		2024-08-01T00:39:21Z	True	0	0				0
3133	varilla	3000	varilla	varilla		2024-08-01T00:39:21Z	True	0	0				0
3132	urna funeraria	3000	urna funeraria	urna funeraria		2024-08-01T00:39:21Z	True	0	0				0
3131	tituli	3000	tituli	tituli		2024-08-01T00:39:21Z	True	0	0				0
3130	tessera hospitalis	3000	tessera hospitalis	tessera hospitalis		2024-08-01T00:39:21Z	True	0	0				0
3129	tarjeta de visita	3000	tarjeta de visita	tarjeta de visita		2024-08-01T00:39:21Z	True	0	0				0
3128	Tabella defixionis	3000	Tabella defixionis	Tabella defixionis		2024-08-01T00:39:21Z	True	0	0				0
3127	Stone sarcophagus	3000	Stone sarcophagus	Stone sarcophagus		2024-08-01T00:39:21Z	True	0	0				0
3126	Stone fragment	3000	Stone fragment	Stone fragment		2024-08-01T00:39:21Z	True	0	0				0
3125	Stele	3000	Stele	Stele		2024-08-01T00:39:21Z	True	0	0				0
3124	Stamps	3000	Stamps	Stamps		2024-08-01T00:39:21Z	True	0	0				0
3123	Stamp	3000	Stamp	Stamp	https://www.eagle-network.eu/voc/typeins/lod/118	2025-02-14T19:34:18Z	False	17653	53002		Designer		0
3122	Speaking phallic stone	3000	Speaking phallic stone	Speaking phallic stone		2024-08-01T00:39:21Z	True	0	0				0
3121	ritual	3000	ritual	ritual		2024-08-01T00:39:21Z	True	0	0				0
3120	propiedad (galo-griego y galo-latino)	3000	propiedad	propiedad (galo-griego y galo-latino)		2024-08-01T00:39:21Z	True	0	0				0
3119	propiedad ?	3000	propiedad ?	propiedad ?		2024-08-01T00:39:21Z	True	0	0				0
3118	propiedad	3000	propiedad	propiedad		2024-08-01T00:39:21Z	True	0	0				0
3117	potter's mark	3000	potter's mark	potter's mark		2024-08-01T00:39:21Z	True	0	0				0
3116	painted inscriptions	3000	painted inscriptions	painted inscriptions		2024-08-01T00:39:21Z	True	0	0				0
3115	painted inscription	3000	painted inscription	painted inscription		2024-08-01T00:39:21Z	True	0	0				0
3114	oficial?	3000	oficial?	oficial?		2024-08-01T00:39:21Z	True	0	0				0
3113	Mosaic	3000	Mosaic	Mosaic		2024-08-01T00:39:21Z	True	0	0				0
3112	Monumental inscription for the stadium	3000	Monumental inscription for the 	Monumental inscription for the stadium		2024-08-01T00:39:21Z	True	0	0				0
3111	Metal plaque	3000	Metal plaque	Metal plaque		2024-08-01T00:39:21Z	True	0	0				0
3110	menhir de consagración	3000	menhir de consagración	menhir de consagración		2024-08-01T00:39:21Z	True	0	0				0
3109	marca de alfarero	3000	marca de alfarero	marca de alfarero		2024-08-01T00:39:21Z	True	0	0				0
3108	Marble plaque	3000	Marble plaque	Stone: Marble plaque		2024-08-01T00:39:21Z	True	0	0				0
3107	Marble altar	3000	Marble altar	Stone: Marble altar		2024-08-01T00:39:21Z	True	0	0				0
3106	mágico?	3000	mágico?	mágico?		2024-08-01T00:39:21Z	True	0	0				0
3105	mágico ? (no celta)	3000	mágico ? (no celta)	mágico ? (no celta)		2024-08-01T00:39:21Z	True	0	0				0
3104	mágico ?	3000	mágico ?	mágico ?		2024-08-01T00:39:21Z	True	0	0				0
3103	Letter on lead	3000	Letter on lead	Letter on lead		2024-08-01T00:39:21Z	True	0	0				0
3102	Letter	3000	Letter	Letter	https://www.eagle-network.eu/voc/typeins/lod/402	2025-02-14T19:34:18Z	True	17664	0		Designer		0
3101	inscripcion hablante (ante coct.)	3000	inscripcion hablante (ante coct	inscripcion hablante (ante coct.)		2024-08-01T00:39:21Z	True	0	0				0
3100	incierta. Lengua gala?	3000	incierta. Lengua gala?	incierta. Lengua gala?		2024-08-01T00:39:21Z	True	0	0				0
3099	incierta (mojon?)	3000	incierta (mojon?)	incierta (mojon?)		2024-08-01T00:39:21Z	True	0	0				0
3098	incierta	3000	incierta	incierta		2024-08-01T00:39:21Z	True	0	0				0
3097	Honorific inscription	3000	Honorific inscription	Honorific inscription		2024-08-01T00:39:21Z	True	0	0				0
3096	Honorific decree	3000	Honorific decree	Honorific decree	https://www.eagle-network.eu/voc/typeins/lod/69	2024-08-01T00:39:21Z	False	0	2				3156
3095	Boundary marker	3000	Boundary marker	Boundary marker	https://www.eagle-network.eu/voc/typeins/lod/53	2025-02-14T19:34:18Z	True	17669	0		simona		0
3094	grafito votivo ?	3000	grafito votivo ?	grafito votivo ?		2024-08-01T00:39:21Z	True	0	0				0
3093	grafito votivo	3000	grafito votivo	grafito votivo		2024-08-01T00:39:21Z	True	0	0				0
3092	grafito propriedad	3000	grafito propriedad	grafito propriedad		2024-08-01T00:39:21Z	True	0	0				0
3091	grafito propiedad	3000	grafito propiedad	grafito propiedad		2024-08-01T00:39:21Z	True	0	0				0
3090	grafito indeterminado (consejos ? Letra ?)	3000	grafito indeterminado (consejos	grafito indeterminado (consejos ? Letra ?)		2024-08-01T00:39:21Z	True	0	0				0
