id_code	xml_id	description	parent_taxonomy_id	parent_id	eagle_uri	sort_order	notes	old_id	latnow_attr_id	fair_epigraphy_uri	is_deprecated	wikidata_id
11410	object.instrumentum.vessel.strainer	Strainer	RIB-object_type	10450		0		150	6465		False	
11420	object.instrumentum.vessel.tank	Tank	RIB-object_type	10450		0		151	6466		False	
11430	object.instrumentum.vessel.trulla	Trulla	RIB-object_type	10450		0		152	6086		False	
11440	object.instrumentum.vessel.flask.unguent	Unguent flask	RIB-object_type	10450		0		153	6467		False	
11450	object.instrumentum.vessel.unknown	Unknown vessel	RIB-object_type	10450		0		0	6397		False	
11460	object.instrumentum.vessel.unspecified	Unspecified vessel	RIB-object_type	10450		0		155	6397		False	
11470	object.instrumentum.vessel.urn	Urn	RIB-object_type	10450		0		156	6382		False	
11480	object.instrumentum.vessel.vase	Vase	RIB-object_type	10450		0		157	6384		False	
11490	object.instrumentum.vessel.barrel.bung	Barrel bung	RIB-object_type	11120		0		120	6451		False	
11500	object.instrumentum.vessel.barrel.head	Barrel head	RIB-object_type	11120		0		0	6453		False	
11510	object.instrumentum.vessel.barrel.stave	Barrel stave	RIB-object_type	11120		0		119	6452		False	
11520	object.instrumentum.weapon.ball	Ball	RIB-object_type	10490		0		162	6038		False	
11530	object.instrumentum.weapon.spearhead	Spearhead	RIB-object_type	10490		0		0	6303		False	
11540	object.instrumentum.wooden_object.plank	Wooden plank	RIB-object_type	10500		0		0	6289		False	
11550	object.monumental.altar	Altar	RIB-object_type	10020		0		165	6005		False	Q101687
11560	object.monumental.arch_element	Architectural Element	RIB-object_type	10020		0		166	6410		False	Q391414
11570	object.monumental.base	Base	RIB-object_type	10020		0		168	6042		False	Q12014132
11580	object.monumental.block	Block	RIB-object_type	10020		0		172	6054		False	
11590	object.monumental.building_stone	Building stone	RIB-object_type	10020		0		173	6073		False	
11600	object.monumental.cippus	Cippus	RIB-object_type	10020		0		174	6065		False	
11610	object.monumental.cornerstone	Corner stone	RIB-object_type	10020		0		0	6119		False	
11620	object.monumental.letter	Letter (monumental)	RIB-object_type	10020		0		175	6231		False	
11630	object.monumental.milestone	Milestone	RIB-object_type	10020		0		176	6247		False	Q10145
11640	object.monumental.panel	Panel	RIB-object_type	10020		0	"Panel" in RIB maps to "Plaque" in LatinNow.	177	6291		False	
11650	object.monumental.plaque	Plaque (monumental)	RIB-object_type	10020		0		178	6291		False	
11660	object.monumental.plate	Plate (monumental)	RIB-object_type	10020		0		542	6294		False	
11670	object.monumental.quarry	Quarry inscription	RIB-object_type	10020		0		179	6304		False	
11680	object.monumental.rock	Rock inscription	RIB-object_type	10020		0		543	6164		False	
11690	object.monumental.sarcophagus	Sarcophagus	RIB-object_type	10020		0		180	6314		False	
11700	object.monumental.sculpture	Sculpture	RIB-object_type	10020		0		181	6320		False	Q860861
11710	object.monumental.slab	Slab	RIB-object_type	10020		0		182	6327		False	
11720	object.monumental.stele	Stele	RIB-object_type	10020		0		187	6159		False	Q178743
11730	object.monumental.tablet	Tablet	RIB-object_type	10020		0		188	6350		False	
11740	object.monumental.unknown	Unknown	RIB-object_type	10020		0		190	6469		False	
11750	object.monumental.arch_element.architrave	Architrave	RIB-object_type	11560		0		547	6029		False	
11760	object.monumental.arch_element.casing	Casing stone	RIB-object_type	11560		0		544	6085		False	
11770	object.monumental.arch_element.column	Column or Pillar	RIB-object_type	11560		0		541	6104		False	
11780	object.monumental.arch_element.coping	Coping stone	RIB-object_type	11560		0		545	6470		False	
11790	object.monumental.arch_element.cornice	Cornice	RIB-object_type	11560		0		546	6120		False	
11800	object.monumental.arch_element.facing	Facing stone	RIB-object_type	11560		0		548	6471		False	
11810	object.monumental.arch_element.finial	Finial	RIB-object_type	11560		0		549	6118		False	
11820	object.monumental.arch_element.frieze	Frieze	RIB-object_type	11560		0		550	6177		False	
11830	object.monumental.arch_element.jamb	Jamb	RIB-object_type	11560		0		553	6147		False	
11840	object.monumental.arch_element.pediment	Pediment	RIB-object_type	11560		0		551	6271		False	
11850	object.monumental.arch_element.pilaster	Pilaster	RIB-object_type	11560		0		552	6282		False	
11860	object.monumental.arch_element.plinth	Plinth	RIB-object_type	11560		0		540	6298		False	
11870	object.monumental.arch_element.unknown	Unknown	RIB-object_type	11560		0		554	6410		False	
11880	object.monumental.arch_element.voussoir	Voussoir	RIB-object_type	11560		0		167	6391		False	
11890	object.monumental.base.altar	Altar Base	RIB-object_type	11570		0		169	6011		False	
11900	object.monumental.base.statue	Statue Base	RIB-object_type	11570		0		170	6043		False	
11910	object.monumental.base.tombstone	Tombstone Base	RIB-object_type	11570		0		171	6371		False	
11920	object.monumental.slab.altar	Altar-slab	RIB-object_type	11710		0		555	6327		False	
11930	object.monumental.slab.building	Building-slab	RIB-object_type	11710		0		183	6327		False	
11940	object.unclassified	Unclassified	RIB-object_type	11000		0		0	0		False	
11950	object.monumental.sculpture.relief	Sculptured relief	RIB-object_type	11700		0		0	6319		False	Q245117
11960	object.monumental.gutter_stone	Gutter stone	RIB-object_type	11000		0		0	6197		False	
11970	object.monumental.slab.tombstone	Tombstone-slab	RIB-object_type	11710		0		0	6254		False	
11980	object.reuse	(reuse)	RIB-object_type	10010		0		0	0		False	
11990	object.instrumentum.sheet	Sheet	RIB-object_type	10010		0		0	6322		False	
12000	object.uncertain	Uncertain	RIB-object_type	10000		0		0	6209		False	
12010	object.monumental.base.column	Column base	RIB-object_type	11570		0		0	6042		False	
12020	object.instrumentum.gaming.counter	Gaming counter	RIB-object_type	10150		0		0	6166		False	
12030	object.instrumentum.measure.water_clock	Water clock	RIB-object_type	10270		0		0	6474		False	
12040	object.monumental.fragment	Monumental fragment	RIB-object_type	10020		0		0	6171		False	
12050	object.instrumentum.vessel.stopper	Stopper	RIB-object_type	10450		0		0	6326		False	
12060	object.instrumentum.coffin	Coffin	RIB-object_type	10010		0		0	6100		False	Q184418
12070	object.instrumentum.tile.brick-or-tile	Brick or tile	RIB-object_type	10410		0		0	6361		False	
12080	object.instrumentum.altar	Miniature altar	RIB-object_type	10010		0		0	6005		False	
12090	object.instrumentum.model	Model	RIB-object_type	10010		0		0	6482		False	
20000	material	Material	RIB-material	0		0		331	0		False	
20010	material.bone	Bone	RIB-material	20000		0		265	2127		False	Q814769
20020	material.ceramic	Ceramic	RIB-material	20000		0		195	2077		False	Q45621
20030	material.glass	Glass	RIB-material	20000	https://www.eagle-network.eu/voc/material/lod/122	0		266	2109		False	Q11469
20040	material.horn	Horn	RIB-material	20000		0		267	2406		False	Q82025
20050	material.ivory	Ivory	RIB-material	20000		0		268	2356		False	Q82001
20060	material.jet	Jet	RIB-material	20000		0		269	2401		False	Q543694
20070	material.leather	Leather	RIB-material	20000		0		270	2149		False	Q286
20080	material.metal	Metal	RIB-material	20000		0		202	2174		False	Q11426
20090	material.mineral	Mineral	RIB-material	20000		0		214	2392		False	Q7946
20100	material.stone	Stone	RIB-material	20000		0		228	2258		False	Q22731
20110	material.opus_signinum	Opus signinum	RIB-material	20000		0		271	2434		False	Q761421
20120	material.plaster	Plaster	RIB-material	20000		0		272	2370		False	Q274988
20130	material.rock	Rock	RIB-material	20000		0		273	2104		False	Q8063
20140	material.wood	Wood	RIB-material	20000	https://www.eagle-network.eu/voc/material/lod/123	0		274	2032		False	Q287
20150	material.other	Other	RIB-material	20000		0		282	2285		False	
20160	material.unknown	Unknown	RIB-material	20000		0		283	2284		False	
20170	material.ceramic.brick	Brick	RIB-material	20020		0		196	2357		False	Q13174712
20180	material.ceramic.ceramic	Ceramic (glazed)	RIB-material	20020		0		197	0		False	Q3664976
20190	material.ceramic.clay	Clay	RIB-material	20020		0		198	2313		False	Q42302
20200	material.ceramic.pipeclay	Pipeclay	RIB-material	20020		0		200	2423		False	Q3132942
20210	material.ceramic.terracotta	Terracotta	RIB-material	20020		0		201	2390		False	Q60424
20220	material.ceramic.clay.baked	Baked clay	RIB-material	20190		0		199	2422		False	Q42302
20230	material.metal.brass	Brass	RIB-material	20080		0		203	2173		False	Q39782
20240	material.metal.bronze	Bronze	RIB-material	20080		0		204	2036		False	Q34095
20250	material.metal.copper	Copper	RIB-material	20080		0		205	2089		False	Q753
20260	material.metal.gold	Gold	RIB-material	20080	https://www.eagle-network.eu/voc/material/lod/112	0		206	2111		False	Q897
