id_code	name	variant_type	parent_table_id	parent_id	certainty_id	language_attribute_id	related_entity_id	notes
29757	Castelló de Empúries	102	94	10574	1	1400	0	
29756	Elche / Elx	102	94	11607	1	1400	0	
29753	Algimia de Almonacid / Algímia d'Almonesir	102	94	10909	1	1400	0	
29752	Alcora / l'Alcora	102	94	10876	1	1400	0	
29751	Vall de Uxó / La Vall d'Uixó	102	94	10750	1	1400	0	
29750	Isona i la Conca Dellà	102	94	10545	1	1400	0	
29749	Maó	102	94	10463	1	1400	0	
29748	Mahón / Maó	102	94	10463	1	1400	0	
29747	L'Alcúdia	102	94	11607	1	1400	0	
29746	Eivissa	102	94	10426	1	1913	0	
29745	Liria / Llíria	102	94	10406	1	1400	0	
29744	Porcuna (Obulco)	102	94	7796	1	1400	0	
29743	Punic	103	95	1106	1	1400	0	
29742	Agathe	103	95	2396	1	1400	0	
29741	Cantharos	103	95	6081	1	1400	0	
29740	Graeco-Iberian	103	95	11121	1	1400	0	
29739	Oppidum de Saint-Blaise	102	94	5002	1	1400	0	
29738	Swallcliffe Lea	102	94	2148	1	1400	0	Misspelling by EDH
29737	Purgstall/Erlauf	102	94	15392	1	1400	0	
29736	Cangas de Ouis	102	94	10590	1	1400	0	Misspelling by EDH
29735	Cañada de Herradores	102	94	8374	1	1400	0	
29734	Bons-Tassily	102	94	5417	1	1400	0	Misspelling by EDH
29733	Kanton Luzern	102	94	9413	1	1400	0	
29732	Canton of Lucerne	102	94	9413	1	1400	0	
29731	Kanton Zug	102	94	6962	1	1400	0	
29730	S.-Jean-Saverne	501	94	7191	1	1400	0	
29729	Lower Saxony	102	94	9089	1	1901	0	
29948	Otañes	301	94	11523	1	1400	0	
29949	Pico de la Cruz	102	94	11523	1	1904	0	
29950	Dedicatory	103	95	3204	1	1400	0	
29951	Owner or Maker's Mark	103	95	3255	1	1400	0	
29952	Imperial Dedication	103	95	3322	1	1400	0	
29953	Fasti: Calendar	103	95	3301	1	1400	0	
29954	Disk	103	95	6145	1	1400	0	
29955	Handmill	103	95	6253	1	1901	0	
29956	Quern	103	95	6253	1	1901	0	
29957	Quernstone	103	95	6253	1	1901	0	
1	Vesunna Petrucoriorum	101	94	4	1	1050	0	
2	Gergovia	101	94	5	1	1050	0	
3	Augustonemetum	101	94	6	1	1050	0	
4	Lactora	101	94	8	1	1050	0	
5	Noviomagos	101	94	9	1	1050	0	
6	Burdigala	101	94	10	1	1050	0	
7	Lugdunum Convenarum	101	94	12	1	1050	0	
8	Rauranum	101	94	13	1	1050	0	
9	Mediolanum Santonum	101	94	16	1	1050	0	
10	Varatedo	101	94	17	1	1050	0	
11	Baugy-Alléan	102	94	18	1	1400	0	
12	Segodunum	101	94	20	1	1050	0	
13	Ratiatum	101	94	23	1	1050	0	
14	Argentomagus	101	94	24	1	1050	0	
15	Argenton-sur-Creuse	301	94	24	1	1400	0	
16	Avaricum	101	94	29	1	1050	0	
17	Biturigae	101	94	29	1	1050	0	
18	Augustoritum Lemovicum	101	94	30	1	1050	0	
19	Aquae Calidae	101	94	32	1	1050	0	
20	Ruessium	101	94	35	1	1050	0	
21	Elusa	101	94	36	1	1050	0	
22	Elimberrum	101	94	38	1	1050	0	
23	Anicium	101	94	41	1	1050	0	
24	Ussubium	101	94	43	1	1050	0	
25	Fines	101	94	52	1	1050	0	
26	Aquae Tarbellicae	101	94	54	1	1050	0	
27	Aquae Terebellicae	101	94	54	1	1050	0	
28	Divona	101	94	61	1	1050	0	
29	Novioritum	101	94	65	1	1050	0	
30	Aquae Neri	101	94	67	1	1050	0	
31	*Neriomagus	101	94	67	1	1050	0	
32	Montauban-de-Luchon	301	94	75	1	1400	0	
33	Cassinomagus	101	94	80	1	1050	0	
34	Ariolica	101	94	87	1	1050	0	
35	Limonum	101	94	88	1	1050	0	
36	Turba	101	94	105	1	1050	0	
37	Aginnum	101	94	112	1	1050	0	
38	[Camelaria]	101	94	119	1	1050	0	
39	Vicani Nogeomgieses	101	94	126	1	1050	0	
40	Aunedonnacum	101	94	135	1	1050	0	
41	Brigiosum	101	94	141	1	1050	0	
42	Vicus Aquensis	101	94	153	1	1050	0	
43	Blacciacum	101	94	157	1	1050	0	
44	Cosa	102	94	165	1	1400	0	
46	Bridiers	301	94	172	1	1400	0	
47	Mediolanum	101	94	185	1	1050	0	
48	Lamnum	101	94	187	1	1050	0	
49	Albiga	101	94	188	1	1050	0	
50	Usuerva	101	94	195	1	1050	0	
51	Iluro	101	94	210	1	1050	0	
52	Castres	301	94	227	1	1400	0	
53	Oppidum Novum	101	94	260	1	1050	0	
54	Acitodunum	101	94	269	1	1050	0	
55	Anderitum	101	94	274	1	1050	0	
56	Iculisma	101	94	289	1	1050	0	
57	Novioregum	101	94	312	1	1050	0	
58	Condate	101	94	322	1	1050	0	
59	Excisum	101	94	327	1	1050	0	
60	Alerta	101	94	328	1	1050	0	
61	Atura	101	94	336	1	1050	0	
62	Saintes	301	94	353	1	1400	0	
63	Praetorium	101	94	362	1	1050	0	
64	Sparianum	101	94	363	1	1050	0	
65	Benearnum	101	94	366	1	1050	0	
66	Andecamulenses	101	94	371	1	1050	0	
67	Cazaril	102	94	378	1	1400	0	
68	Cognac	301	94	387	1	1400	0	
69	Melles	301	94	394	1	1400	0	
70	Calagorri	101	94	408	1	1050	0	
71	Besinum	101	94	436	1	1050	0	
72	Casinomagus	101	94	441	1	1050	0	
73	Aquae Siccae	101	94	446	1	1050	0	
74	Cazères	301	94	446	1	1400	0	
75	Saint-Ambroix	301	94	486	1	1400	0	
76	Baugy	301	94	497	1	1400	0	
77	Alleans	102	94	497	1	1400	0	
78	Hautefage-la-Tour	301	94	499	1	1400	0	
79	Saint-Maurice-ès-Allier	102	94	501	1	1400	0	
80	Lachamp	301	94	508	1	1400	0	
81	Naves	301	94	519	1	1400	0	
82	Bains	301	94	525	1	1400	0	
83	Escuñau	102	94	542	1	1400	0	
84	Escugnan	102	94	542	1	1400	0	
85	Bazus-sur-Neste	102	94	584	1	1400	0	
86	Arrènes	302	94	613	1	1400	0	
87	Saint-Marcel	301	94	666	1	1400	0	
88	Argentomagus	101	94	666	1	1050	0	
89	Argantomagus	101	94	666	1	1050	0	
90	Vannes	302	94	687	1	1400	0	
91	Le Donzeil	301	94	723	1	1400	0	
92	Martres-Tolosane	301	94	725	1	1400	0	
93	Saint-Béat	301	94	735	1	1400	0	
94	Corterate	101	94	745	1	1050	0	
95	Châteauponsac	301	94	788	1	1400	0	
96	Crastes	301	94	791	1	1400	0	
97	Fontenay-le-Comte	302	94	805	1	1400	0	
30110	Teba del Condado	102	94	8501	1	1904	0	
99	Vicq-sur-Breuilh	301	94	832	1	1400	0	
100	Montauban	301	94	834	1	1400	0	
101	Saint-Bertrand-de-Comminges	301	94	880	1	1400	0	
102	Moulis	301	94	886	1	1400	0	
103	Salles-Curan	301	94	906	1	1400	0	
104	Sauvagnas	301	94	908	1	1400	0	
105	Antigny	301	94	922	1	1400	0	
106	Le Gué-de-Sciaux à Antigny	102	94	922	1	1400	0	
107	Bagnères-de-Luchon	302	94	926	1	1400	0	
108	Audierne	301	94	931	1	1400	0	
109	España	102	94	956	1	1400	0	
110	Bagacum	101	94	960	1	1050	0	
111	Augusta Treverorum	101	94	961	1	1050	0	
112	Augusta Tresvirorum	101	94	961	1	1050	0	
113	Ricciacum	101	94	963	1	1050	0	
114	Wallerfangen	301	94	965	1	1400	0	
115	Atuatuca Tungrorum	101	94	966	1	1050	0	
116	Amianum	101	94	967	1	1050	0	
117	Mosae Traiectum	101	94	969	1	1050	0	
118	Ageville	301	94	973	1	1400	0	
119	Nemetacum	101	94	974	1	1050	0	
120	Baudecet	102	94	975	1	1400	0	
121	Divodurum	101	94	977	1	1050	0	
122	Donobriga	101	94	982	1	1050	0	
123	Mediolanum	101	94	990	1	1050	0	
124	Divio	101	94	991	1	1050	0	
125	Geminiacum	101	94	993	1	1050	0	
126	Titelberg	102	94	995	1	1400	0	
127	Tabernae	101	94	1000	1	1050	0	
128	Ressons-le-Long	301	94	1004	1	1400	0	
129	Tarvenna	101	94	1005	1	1050	0	
130	Morbach	301	94	1006	1	1400	0	
131	Belginum	101	94	1006	1	1050	0	
132	Augusta Suessionum	101	94	1007	1	1050	0	
133	Samarobriva Ambianorum	101	94	1014	1	1050	0	
134	Gesoriacum	101	94	1018	1	1050	0	
135	Durocortorum	101	94	1021	1	1050	0	
136	Solicia	101	94	1027	1	1050	0	
137	Solimariaca	101	94	1027	1	1050	0	
138	Tullum	101	94	1030	1	1050	0	
139	Andematunum	101	94	1038	1	1050	0	
140	Scarponna	101	94	1039	1	1050	0	
141	Val-de-Vesle	301	94	1043	1	1400	0	
142	Châtillon-sur-Marne	301	94	1044	1	1400	0	
143	Minatiacum	101	94	1045	1	1050	0	
144	Mose	101	94	1048	1	1050	0	
145	Augustomagus	101	94	1051	1	1050	0	
146	Litanobriga	101	94	1055	1	1050	0	
147	Caesaromagus	101	94	1063	1	1050	0	
148	Casaromagus	101	94	1063	1	1050	0	
149	Ratumagus Silvanectum	101	94	1064	-1	1050	0	
150	Augusta Viromanduorum	101	94	1067	1	1050	0	
151	Turnacum	101	94	1074	1	1050	0	
152	Camaracum	101	94	1078	1	1050	0	
153	Elewyt	102	94	1079	1	1400	0	
154	Tecta	101	94	1091	1	1050	0	
155	Orolaunum	101	94	1104	1	1050	0	
156	Märel	102	94	1110	1	1400	0	
157	Schëtter	102	94	1117	1	1400	0	
158	Beda	101	94	1138	1	1050	0	
159	Icorigium	101	94	1150	1	1050	0	
160	Egorigium	101	94	1150	1	1050	0	
161	Noviomagus	101	94	1153	1	1050	0	
162	Nonnweiler	301	94	1168	1	1400	0	
